Driver,Kart,Tires,Glider,Weight,Acceleration,On-Road Traction,Off-Road Traction,Mini Turbo,Ground Speed,Water Speed,Anti-Gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-Gravity Handling,Air Handling,key
"Baby Peach, Baby Daisy","Biddybuggy, Mr. Scooty","Sponge, Cushion","Super Glider, Waddle Wing, Hylian Kite",1.25,4.75,2.5,4.75,5,1.25,1.5,1.5,2.5,5.25,4.5,5.25,5.25,1.254.752.54.7551.251.51.52.51.254.55.255.25
"Baby Peach, Baby Daisy","Biddybuggy, Mr. Scooty","Sponge, Cushion","Wario Wing, Plane Glider, Gold Glider",1.5,4.75,2.75,4.5,5,1.25,1.25,1.75,2.5,5.25,4.75,5,5.25,1.54.752.754.551.251.251.752.51.254.7555.25
"Baby Peach, Baby Daisy","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.25,5,2.5,4.5,5,1.25,2,2,2,5.5,5,5.5,5.5,1.2552.54.551.252221.2555.55.5
"Baby Peach, Baby Daisy","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.5,5,2.75,4.25,5,1.25,1.75,2,2,5.5,5.25,5.25,5.5,1.552.754.2551.251.75221.255.255.255.5
"Baby Peach, Baby Daisy","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Super Glider, Waddle Wing, Hylian Kite",1.5,4.75,2.5,4.5,4.75,1.5,2,1.75,2.25,5.5,5,5.5,5.25,1.54.752.54.54.751.521.752.251.555.55.25
"Baby Peach, Baby Daisy","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Wario Wing, Plane Glider, Gold Glider",1.75,4.75,2.75,4.25,4.75,1.5,1.75,2,2.25,5.5,5.25,5.25,5.25,1.754.752.754.254.751.51.7522.251.55.255.255.25
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",0.75,4.25,2.25,3.75,4.5,2,2,2.5,2.25,4.75,4.75,5.75,4.5,0.754.252.253.754.5222.52.2524.755.754.5
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1,4.25,2.5,3.5,4.5,2,1.75,2.5,2.25,4.75,5,5.5,4.5,14.252.53.54.521.752.52.25255.54.5
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",1,4,2.25,3.75,4.25,2.25,2,2.25,2.5,4.75,4.75,5.75,4.25,142.253.754.252.2522.252.52.254.755.754.25
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",1.25,4,2.5,3.5,4.25,2.25,1.75,2.5,2.5,4.75,5,5.5,4.25,1.2542.53.54.252.251.752.52.52.2555.54.25
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,3,2.25,3.5,3.25,2.75,2.25,2.25,2.25,4.5,4.5,5,4,1.7532.253.53.252.752.252.252.252.754.554
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2,3,2.5,3.25,3.25,2.75,2,2.25,2.25,4.5,4.75,4.75,4,232.53.253.252.7522.252.252.754.754.754
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",2,2.75,2.25,3.5,3,3,2.25,2,2.5,4.5,4.5,5,3.75,22.752.253.5332.2522.534.553.75
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",2.25,2.75,2.5,3.25,3,3,2,2.25,2.5,4.5,4.75,4.75,3.75,2.252.752.53.253322.252.534.754.753.75
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,3.5,2.75,4.75,3.75,2.25,2,2.5,2,4,4.25,4.75,4.25,1.753.52.754.753.752.2522.522.254.254.754.25
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2,3.5,3,4.5,3.75,2.25,1.75,2.5,2,4,4.5,4.5,4.25,23.534.53.752.251.752.522.254.54.54.25
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",2,3.25,2.75,4.75,3.5,2.5,2,2.25,2.25,4,4.25,4.75,4,23.252.754.753.52.522.252.252.54.254.754
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",2.25,3.25,3,4.5,3.5,2.5,1.75,2.5,2.25,4,4.5,4.5,4,2.253.2534.53.52.51.752.52.252.54.54.54
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.5,3.75,2.75,4.5,3.5,2.5,2.5,2.5,2,4.25,4.25,5.25,4.5,1.53.752.754.53.52.52.52.522.54.255.254.5
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.75,3.75,3,4.25,3.5,2.5,2.25,2.5,2,4.25,4.5,5,4.5,1.753.7534.253.52.52.252.522.54.554.5
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",1.75,3.5,2.75,4.5,3.25,2.75,2.5,2.25,2.25,4.25,4.25,5.25,4.25,1.753.52.754.53.252.752.52.252.252.754.255.254.25
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",2,3.5,3,4.25,3.25,2.75,2.25,2.5,2.25,4.25,4.5,5,4.25,23.534.253.252.752.252.52.252.754.554.25
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",0.75,4.5,2,4,4.75,1.75,2.25,2,2.5,5,5,5.75,5,0.754.5244.751.752.2522.51.7555.755
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Roller, Azure Roller","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1,4.5,2.25,3.75,4.75,1.75,2,2,2.5,5,5.25,5.5,5,14.52.253.754.751.75222.51.755.255.55
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Roller, Azure Roller","Super Glider, Waddle Wing, Hylian Kite",1,4.25,2,4,4.5,2,2.25,1.75,2.75,5,5,5.75,4.75,14.25244.522.251.752.75255.754.75
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Roller, Azure Roller","Wario Wing, Plane Glider, Gold Glider",1.25,4.25,2.25,3.75,4.5,2,2,2,2.75,5,5.25,5.5,4.75,1.254.252.253.754.52222.7525.255.54.75
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Slick, Cyber Slick","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.5,3.25,3,3,3.25,2.75,1.5,3,1.75,4.5,4,5.25,4.25,1.53.25333.252.751.531.752.7545.254.25
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Slick, Cyber Slick","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.75,3.25,3.25,2.75,3.25,2.75,1.25,3,1.75,4.5,4.25,5,4.25,1.753.253.252.753.252.751.2531.752.754.2554.25
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Slick, Cyber Slick","Super Glider, Waddle Wing, Hylian Kite",1.75,3,3,3,3,3,1.5,2.75,2,4.5,4,5.25,4,1.75333331.52.752345.254
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Slick, Cyber Slick","Wario Wing, Plane Glider, Gold Glider",2,3,3.25,2.75,3,3,1.25,3,2,4.5,4.25,5,4,233.252.75331.253234.2554
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Slim, Wood, Crimson Slim","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.25,3.5,3,3.25,3.75,2.5,2,3,2.25,5,5,5.5,5,1.253.533.253.752.5232.252.555.55
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Slim, Wood, Crimson Slim","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.5,3.5,3.25,3,3.75,2.5,1.75,3,2.25,5,5.25,5.25,5,1.53.53.2533.752.51.7532.252.55.255.255
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Slim, Wood, Crimson Slim","Super Glider, Waddle Wing, Hylian Kite",1.5,3.25,3,3.25,3.5,2.75,2,2.75,2.5,5,5,5.5,4.75,1.53.2533.253.52.7522.752.52.7555.54.75
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Slim, Wood, Crimson Slim","Wario Wing, Plane Glider, Gold Glider",1.75,3.25,3.25,3,3.5,2.75,1.75,3,2.5,5,5.25,5.25,4.75,1.753.253.2533.52.751.7532.52.755.255.254.75
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Sponge, Cushion","Cloud Glider, Parachute, Flower Glider, Paper Glider",1,4,2.5,4.5,4.25,2,1.75,2.25,2.75,4.5,4.25,5.25,4.75,142.54.54.2521.752.252.7524.255.254.75
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Sponge, Cushion","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.25,4,2.75,4.25,4.25,2,1.5,2.25,2.75,4.5,4.5,5,4.75,1.2542.754.254.2521.52.252.7524.554.75
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Sponge, Cushion","Super Glider, Waddle Wing, Hylian Kite",1.25,3.75,2.5,4.5,4,2.25,1.75,2,3,4.5,4.25,5.25,4.5,1.253.752.54.542.251.75232.254.255.254.5
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Sponge, Cushion","Wario Wing, Plane Glider, Gold Glider",1.5,3.75,2.75,4.25,4,2.25,1.5,2.25,3,4.5,4.5,5,4.5,1.53.752.754.2542.251.52.2532.254.554.5
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Standard, Blue Standard, GLA Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.25,4,2.5,4.25,4,2.25,2.25,2.5,2.5,4.75,4.75,5.5,4.75,1.2542.54.2542.252.252.52.52.254.755.54.75
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Standard, Blue Standard, GLA Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.5,4,2.75,4,4,2.25,2,2.5,2.5,4.75,5,5.25,4.75,1.542.75442.2522.52.52.2555.254.75
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Standard, Blue Standard, GLA Tires","Super Glider, Waddle Wing, Hylian Kite",1.5,3.75,2.5,4.25,3.75,2.5,2.25,2.25,2.75,4.75,4.75,5.5,4.5,1.53.752.54.253.752.52.252.252.752.54.755.54.5
"Baby Peach, Baby Daisy","Blue Falcon, Splat Buggy","Standard, Blue Standard, GLA Tires","Wario Wing, Plane Glider, Gold Glider",1.75,3.75,2.75,4,3.75,2.5,2,2.5,2.75,4.75,5,5.25,4.5,1.753.752.7543.752.522.52.752.555.254.5
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.25,4.75,3,3.75,5,1.5,2,2.25,2.5,5.25,4.5,5.25,5.25,1.254.7533.7551.522.252.51.54.55.255.25
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.5,4.75,3.25,3.5,5,1.5,1.75,2.25,2.5,5.25,4.75,5,5.25,1.54.753.253.551.51.752.252.51.54.7555.25
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",1.5,4.5,3,3.75,4.75,1.75,2,2,2.75,5.25,4.5,5.25,5,1.54.533.754.751.75222.751.754.55.255
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",1.75,4.5,3.25,3.5,4.75,1.75,1.75,2.25,2.75,5.25,4.75,5,5,1.754.53.253.54.751.751.752.252.751.754.7555
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.25,3.5,3,3.5,3.75,2.25,2.25,2,2.5,5,4.25,4.5,4.75,2.253.533.53.752.252.2522.52.254.254.54.75
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.5,3.5,3.25,3.25,3.75,2.25,2,2,2.5,5,4.5,4.25,4.75,2.53.53.253.253.752.25222.52.254.54.254.75
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",2.5,3.25,3,3.5,3.5,2.5,2.25,1.75,2.75,5,4.25,4.5,4.5,2.53.2533.53.52.52.251.752.752.54.254.54.5
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",2.75,3.25,3.25,3.25,3.5,2.5,2,2,2.75,5,4.5,4.25,4.5,2.753.253.253.253.52.5222.752.54.54.254.5
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.25,4,3.5,4.75,4.25,1.75,2,2.25,2.25,4.5,4,4.25,5,2.2543.54.754.251.7522.252.251.7544.255
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.5,4,3.75,4.5,4.25,1.75,1.75,2.25,2.25,4.5,4.25,4,5,2.543.754.54.251.751.752.252.251.754.2545
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",2.5,3.75,3.5,4.75,4,2,2,2,2.5,4.5,4,4.25,4.75,2.53.753.54.7542222.5244.254.75
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",2.75,3.75,3.75,4.5,4,2,1.75,2.25,2.5,4.5,4.25,4,4.75,2.753.753.754.5421.752.252.524.2544.75
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,4.25,3.5,4.5,4,2,2.5,2.25,2.25,4.75,4,4.75,5.25,24.253.54.5422.52.252.25244.755.25
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,4.25,3.75,4.25,4,2,2.25,2.25,2.25,4.75,4.25,4.5,5.25,2.254.253.754.25422.252.252.2524.254.55.25
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",2.25,4,3.5,4.5,3.75,2.25,2.5,2,2.5,4.75,4,4.75,5,2.2543.54.53.752.252.522.52.2544.755
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",2.5,4,3.75,4.25,3.75,2.25,2.25,2.25,2.5,4.75,4.25,4.5,5,2.543.754.253.752.252.252.252.52.254.254.55
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.25,5,2.75,4,5.25,1.25,2.25,1.75,2.75,5.5,4.75,5.25,5.75,1.2552.7545.251.252.251.752.751.254.755.255.75
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Roller, Azure Roller","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.5,5,3,3.75,5.25,1.25,2,1.75,2.75,5.5,5,5,5.75,1.5533.755.251.2521.752.751.25555.75
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Roller, Azure Roller","Super Glider, Waddle Wing, Hylian Kite",1.5,4.75,2.75,4,5,1.5,2.25,1.5,3,5.5,4.75,5.25,5.5,1.54.752.75451.52.251.531.54.755.255.5
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Roller, Azure Roller","Wario Wing, Plane Glider, Gold Glider",1.75,4.75,3,3.75,5,1.5,2,1.75,3,5.5,5,5,5.5,1.754.7533.7551.521.7531.5555.5
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Slick, Cyber Slick","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,3.75,3.75,3,3.75,2.25,1.5,2.75,2,5,3.75,4.75,5,23.753.7533.752.251.52.7522.253.754.755
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Slick, Cyber Slick","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,3.75,4,2.75,3.75,2.25,1.25,2.75,2,5,4,4.5,5,2.253.7542.753.752.251.252.7522.2544.55
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Slick, Cyber Slick","Super Glider, Waddle Wing, Hylian Kite",2.25,3.5,3.75,3,3.5,2.5,1.5,2.5,2.25,5,3.75,4.75,4.75,2.253.53.7533.52.51.52.52.252.53.754.754.75
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Slick, Cyber Slick","Wario Wing, Plane Glider, Gold Glider",2.5,3.5,4,2.75,3.5,2.5,1.25,2.75,2.25,5,4,4.5,4.75,2.53.542.753.52.51.252.752.252.544.54.75
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Slim, Wood, Crimson Slim","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,4,3.75,3.25,4.25,2,2,2.75,2.5,5.5,4.75,5,5.75,1.7543.753.254.25222.752.524.7555.75
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Slim, Wood, Crimson Slim","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2,4,4,3,4.25,2,1.75,2.75,2.5,5.5,5,4.75,5.75,24434.2521.752.752.5254.755.75
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Slim, Wood, Crimson Slim","Super Glider, Waddle Wing, Hylian Kite",2,3.75,3.75,3.25,4,2.25,2,2.5,2.75,5.5,4.75,5,5.5,23.753.753.2542.2522.52.752.254.7555.5
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Slim, Wood, Crimson Slim","Wario Wing, Plane Glider, Gold Glider",2.25,3.75,4,3,4,2.25,1.75,2.75,2.75,5.5,5,4.75,5.5,2.253.754342.251.752.752.752.2554.755.5
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Sponge, Cushion","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.5,4.5,3.25,4.5,4.75,1.5,1.75,2,3,5,4,4.75,5.5,1.54.53.254.54.751.51.75231.544.755.5
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Sponge, Cushion","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.75,4.5,3.5,4.25,4.75,1.5,1.5,2,3,5,4.25,4.5,5.5,1.754.53.54.254.751.51.5231.54.254.55.5
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Sponge, Cushion","Super Glider, Waddle Wing, Hylian Kite",1.75,4.25,3.25,4.5,4.5,1.75,1.75,1.75,3.25,5,4,4.75,5.25,1.754.253.254.54.51.751.751.753.251.7544.755.25
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Sponge, Cushion","Wario Wing, Plane Glider, Gold Glider",2,4.25,3.5,4.25,4.5,1.75,1.5,2,3.25,5,4.25,4.5,5.25,24.253.54.254.51.751.523.251.754.254.55.25
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Standard, Blue Standard, GLA Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,4.5,3.25,4.25,4.5,1.75,2.25,2.25,2.75,5.25,4.5,5,5.5,1.754.53.254.254.51.752.252.252.751.754.555.5
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Standard, Blue Standard, GLA Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2,4.5,3.5,4,4.5,1.75,2,2.25,2.75,5.25,4.75,4.75,5.5,24.53.544.51.7522.252.751.754.754.755.5
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Standard, Blue Standard, GLA Tires","Super Glider, Waddle Wing, Hylian Kite",2,4.25,3.25,4.25,4.25,2,2.25,2,3,5.25,4.5,5,5.25,24.253.254.254.2522.252324.555.25
"Baby Peach, Baby Daisy","Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy","Standard, Blue Standard, GLA Tires","Wario Wing, Plane Glider, Gold Glider",2.25,4.25,3.5,4,4.25,2,2,2.25,3,5.25,4.75,4.75,5.25,2.254.253.544.25222.25324.754.755.25
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.5,3.75,2.75,3.25,4,2.25,1.75,2.5,2,4.5,4.25,5,4.25,1.53.752.753.2542.251.752.522.254.2554.25
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.75,3.75,3,3,4,2.25,1.5,2.5,2,4.5,4.5,4.75,4.25,1.753.753342.251.52.522.254.54.754.25
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",1.75,3.5,2.75,3.25,3.75,2.5,1.75,2.25,2.25,4.5,4.25,5,4,1.753.52.753.253.752.51.752.252.252.54.2554
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",2,3.5,3,3,3.75,2.5,1.5,2.5,2.25,4.5,4.5,4.75,4,23.5333.752.51.52.52.252.54.54.754
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.5,2.5,2.75,3,2.75,3,2,2.25,2,4.25,4,4.25,3.75,2.52.52.7532.75322.252344.253.75
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.75,2.5,3,2.75,2.75,3,1.75,2.25,2,4.25,4.25,4,3.75,2.752.532.752.7531.752.25234.2543.75
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",2.75,2.25,2.75,3,2.5,3.25,2,2,2.25,4.25,4,4.25,3.5,2.752.252.7532.53.25222.253.2544.253.5
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",3,2.25,3,2.75,2.5,3.25,1.75,2.25,2.25,4.25,4.25,4,3.5,32.2532.752.53.251.752.252.253.254.2543.5
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.5,3,3.25,4.25,3.25,2.5,1.75,2.5,1.75,3.75,3.75,4,4,2.533.254.253.252.51.752.51.752.53.7544
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.75,3,3.5,4,3.25,2.5,1.5,2.5,1.75,3.75,4,3.75,4,2.7533.543.252.51.52.51.752.543.754
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",2.75,2.75,3.25,4.25,3,2.75,1.75,2.25,2,3.75,3.75,4,3.75,2.752.753.254.2532.751.752.2522.753.7543.75
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",3,2.75,3.5,4,3,2.75,1.5,2.5,2,3.75,4,3.75,3.75,32.753.5432.751.52.522.7543.753.75
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.25,3.25,3.25,4,3,2.75,2.25,2.5,1.75,4,3.75,4.5,4.25,2.253.253.25432.752.252.51.752.753.754.54.25
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.5,3.25,3.5,3.75,3,2.75,2,2.5,1.75,4,4,4.25,4.25,2.53.253.53.7532.7522.51.752.7544.254.25
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",2.5,3,3.25,4,2.75,3,2.25,2.25,2,4,3.75,4.5,4,2.533.2542.7532.252.25233.754.54
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",2.75,3,3.5,3.75,2.75,3,2,2.5,2,4,4,4.25,4,2.7533.53.752.75322.52344.254
"Baby Peach, Baby Daisy","Circuit Special, B Dasher, P-Wing","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.5,4,2.5,3.5,4.25,2,2,2,2.25,4.75,4.5,5,4.75,1.542.53.54.252222.2524.554.75
